h;x;y;Vpinput;Vpoutput;Vs;Ro;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr;Sio2;tiO2;al2O3;fe2O3;feO;mnO;mgO;caO;na2O;k2O;h2O
4;119,88;48,64;6,1;6,077867908;3,351624567;2,669153035;2,79E-05;1,23E-05;0,289672343;0,00875961;0,000339345;0,000648513;0,003098551;0,69732684;8,27E-05;3,19E-05;58,18498966;0,80954771;18,65810268;1,489240385;4,834204913;0,112398744;3,284296375;0,829014487;7,849410572;2,690347932;0,864467292
8;119,88;48,64;6,26;6,24629246;3,940405943;2,676125042;0,556150624;0,000788221;0,000841779;0,007917682;0,002069063;0,003005133;0,000285878;0,397043635;0,000280197;0,031617789;84,32788361;0,020914965;8,645801741;0,259536746;0,913193992;0,088195804;0,40505548;0,701750711;4,413771749;0,218380113;0,166713616
6;115,9;48,6;6,22;6,402945128;3,514829591;2,894060482;0,000517492;0,000395116;0,356181029;0,00043885;0,062333181;0,303738521;0,010822021;0,249484092;0,01126018;0,004829519;47,54168932;1,356300008;14,2263494;2,997946712;10,62813234;0,236790725;9,51009186;3,830010095;3,420840909;4,616077256;1,721386135
8;115,9;48,6;6,24;6,254084375;3,533114299;2,562492768;0,006294288;8,38E-05;0,001618487;0,000100874;0,000276739;3,75E-05;4,63E-05;0,987054883;0,001837296;0,002649817;67,52874253;0,010353868;19,89802532;0,252047571;0,096087385;0,050531136;0,208197097;0,492853302;10,9358845;0,662598849;0,371187765
6;113,91;48,58;6,23;6,211062298;3,905748252;2,624228622;0,529498434;0,001131659;9,86E-06;2,86E-05;2,48E-06;4,73E-05;0,010839283;0,458417259;8,89E-06;1,62E-05;84,4663445;0,005044817;9,24600715;0,144176488;0,318035563;0,026150209;0,246704319;0,246824838;5,07849502;0,199688599;0,174253564
6;107,94;48,52;6,26;6,445373144;4,205869036;2,736429619;0,747670113;0,017550802;0,014845065;5,36E-06;0,128489161;0,000515737;3,27E-05;0,090804617;3,17E-05;5,48E-05;87,300504;0,050871195;2,726003207;0,227487231;2,187241982;0,068692567;5,797688957;0,44065109;1,036454123;0,1729058;0,098158888
4;103,96;48,48;6,19;6,041928289;3,298226163;2,760708016;0,042190449;0,000546817;0,405005072;0,009957087;0,000285662;0,057177612;0,022398514;0,086688693;0,375644791;0,000105303;53,05591547;1,201972937;16,17140631;2,245326454;7,951688041;0,142909835;5,243821517;1,520929194;2,358252797;49,34607575;1,170612621
14;99,98;48,44;6,28;6,273321874;3,449691314;2,590570742;0,002492776;0,000542148;8,85E-06;0,045586496;9,60E-05;0,000844411;5,45E-05;0,000880334;0,9494275;6,70E-05;63,55173809;0,029576236;18,49997058;0,337343152;0,516629787;0,019127795;0,636257067;1,483688615;2,898638075;116,1188716;0,32480516
16;96;48,4;6,29;6,208519751;4,143073697;2,713950651;0,940238539;0,007802308;0,000132329;0,019797661;0,000391025;7,55E-05;0,020269167;0,000131884;0,010342182;0,00081944;97,09149151;0,013864256;0,570065884;0,120927285;0,803510082;0,018919072;0,577790219;0,597477711;0,053939723;1,271137018;0,016777157
8;94,01;48,38;6,22;6,16864357;3,571127952;2,902946745;0,277958358;0,003350193;0,474572065;0,009418321;0,107218383;0,121999585;0,002503446;0,001172633;0,000411828;0,001395188;55,66323225;1,469384018;9,114782649;2,755346419;10,8489942;0,217429784;10,90257204;2,121354579;0,41951012;4,035777014;1,358782769
