h;x;y;pressure;temperature;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr
6;179,58;49,24;0,1555;93,1;0,104604227;0,000334749;0,001807642;0,674883829;6,55E-05;2,87E-05;0,07206533;1,68E-05;1,79E-05;0,146175309
8;179,58;49,24;0,2076;146;0,402860529;0,004816971;0,21927377;0,004586371;0,109018929;0,021231426;4,56E-06;4,75E-08;7,88E-05;0,238128571
10;179,58;49,24;0,2599;200;0,025002362;0,005336129;0,000273117;0,000122484;0,001476016;0,366281884;0,000728635;3,48E-05;0,596435329;0,004309218
12;179,58;49,24;0,3124;245,04;5,23E-07;4,33E-06;9,04E-07;0,162492167;1,22E-05;0,000228258;0,813489913;0,000811731;0,022959841;9,04E-08
14;179,58;49,24;0,3654;281,764;1,19E-05;0,000819702;1,07E-07;0,007099158;1,78E-05;0,424821048;0,000177505;0,565438065;0,000398178;0,001216583
16;179,58;49,24;0,4186;313,28;0,002819837;0,0261088;0,014405001;0,62181917;8,29E-05;0,001442802;0,324096854;5,63E-06;1,23E-05;0,009206684
2;177,59;49,22;0,0518;28,65;0,603175782;0,038178892;0,060608409;0,032094833;0,140477168;0,002368391;0,010305336;0,050149244;0,002167235;0,060474711
4;177,59;49,22;0,1036;53,2;0,003749292;0,025606233;0,051720754;0,369076555;0,457206948;0,000271737;0,005211889;0,067169664;6,11E-05;0,019925845
6;177,59;49,22;0,1555;93,1;0,013818992;0,00012362;0,000474097;0,002133528;0,035907911;7,15E-05;0,942000448;0,000699866;0,004666028;0,000104
8;177,59;49,22;0,2076;146;0,021288049;0,036016028;0,045123281;0,055517359;0,108856941;0,040228059;0,017284103;0,000960062;0,076056056;0,59867006
10;177,59;49,22;0,2599;200;1,01E-05;2,45E-06;0,000726776;0,141705014;1,17E-05;4,02E-06;2,55E-06;2,21E-06;0,651443205;0,206091907
12;177,59;49,22;0,3124;245,04;0,035253677;0,001606316;2,06E-05;0,001667902;0,168109346;0,000123964;0,000543759;0,000203194;0,006449591;0,786021679
14;177,59;49,22;0,3654;281,764;0,000142342;0,241490541;0,135897918;0,00037557;0,0046303;0,145517079;0,000617605;0,005777331;0,005548286;0,460003028
16;177,59;49,22;0,4186;313,28;0,001761299;0,017466549;0,823363493;0,074588623;0,005255546;0,002101331;0,00156394;0,000209542;0,070696603;0,002993073
2;175,6;49,2;0,0518;28,65;0,69984673;0,000396423;0,001037298;2,99E-08;0,260157524;0,020218026;0,016702407;0,001635342;2,24E-06;3,99E-06
4;175,6;49,2;0,1036;53,2;0,248659057;0,001756358;0,126574146;0,004008365;0,002208137;0,300988353;0,006616931;0,298037898;0,00202209;0,009128666
6;175,6;49,2;0,1555;93,1;0,44001621;3,94E-08;6,06E-08;7,70E-06;9,98E-08;0,000340032;9,72E-06;0,000103548;1,07E-06;0,559521526
8;175,6;49,2;0,2076;146;0,568737008;0,001444498;0,001138613;6,58E-06;3,92E-05;6,85E-05;0,00175632;0,130681088;0,162655211;0,133472977
10;175,6;49,2;0,2599;200;0,001024445;0,002318791;0,012515331;0,000462789;0,001033693;0,057503632;0,000166767;0,09894125;0,029732259;0,796301041
12;175,6;49,2;0,3124;245,04;0,003370804;0,015875224;0,159847154;0,003025127;0,43437832;4,34E-05;0,260213373;0,107750522;0,005831037;0,009665044
14;175,6;49,2;0,3654;281,764;0,166790709;0,027968202;0,002045002;0,000623872;0,027666837;0,066382907;0,598048852;0,008178506;0,080260827;0,022034285
16;175,6;49,2;0,4186;313,28;0,323884447;0,000309292;5,50E-05;0,637208952;8,76E-05;0,029986569;4,08E-05;0,000523199;0,007598567;0,000305607
2;173,61;49,18;0,0518;28,65;0,000406851;0,002016894;0,002255752;0,010116236;0,941129323;0,000846446;0,009273603;0,019756107;0,005169187;0,009029601
4;173,61;49,18;0,1036;53,2;0,031088041;0,069770877;0,037370346;0,005101309;0,097332364;0,213151457;0,439721256;0,072496619;0,022508772;0,01145896
6;173,61;49,18;0,1555;93,1;5,56E-07;0,000181994;1,11E-05;3,67E-07;0,959298282;5,71E-06;2,11E-05;0,040425344;5,32E-05;2,44E-06
8;173,61;49,18;0,2076;146;0,363067629;9,31E-08;3,43E-08;1,02E-06;3,83E-06;3,99E-05;2,22E-06;3,23E-05;0,078471816;0,558381171
10;173,61;49,18;0,2599;200;0,000885597;0,00012817;0,005824801;0,001896039;0,003443132;0,012429583;3,75E-05;0,011046405;0,964081865;0,000226869
12;173,61;49,18;0,3124;245,04;0,763078557;0,000540624;0,028581145;0,038099984;0,141215231;0,023349248;0,001808104;0,000171847;0,002913115;0,000242146
14;173,61;49,18;0,3654;281,764;0,010869369;0,000117466;0,01974987;1,66E-06;0,967427159;9,93E-05;0,00012589;0,001556983;2,19E-05;3,04E-05
16;173,61;49,18;0,4186;313,28;0,953953169;9,58E-07;2,56E-07;3,04E-06;0,03470979;0,000206342;0,001089102;9,28E-06;1,44E-06;0,010026623
2;171,62;49,16;0,0518;28,65;0,014238377;2,26E-05;0,017419277;0,029737878;0,000261988;0,00030307;0,000346783;0,000212764;0,937278927;0,000178315
