h;x;y;Velosity_etalon;efVp;ef_Vs;ro
2;165,65;49,1;5,91;6,730050906;4,046876331;3,085483019
4;165,65;49,1;5,97;7,281331075;4,389826721;3,031128765
6;165,65;49,1;6,03;6,515469296;3,94023958;2,75019337
8;165,65;49,1;6,09;7,226231323;4,06051361;2,987276022
10;165,65;49,1;6,16;6,631255399;4,01020888;3,024403704
12;165,65;49,1;6,22;6,540847205;3,622752153;2,827571463
14;165,65;49,1;6,24;6,293520726;4,163488696;2,781730455
16;165,65;49,1;6,3;7,116482388;4,059887128;3,133742992
2;163,66;49,08;5,88;5,63711311;2,923676196;2,920949763
4;163,66;49,08;5,94;7,218495902;4,375126849;3,324804317
6;163,66;49,08;6;6,684400541;3,780107632;2,904076624
8;163,66;49,08;6,07;6,452853356;3,561827825;2,783285147
10;163,66;49,08;6,13;6,330215349;4,139745279;2,699752824
12;163,66;49,08;6,18;6,151509217;3,283936832;3,164460787
14;163,66;49,08;6,25;8,283280251;4,719436136;3,993129892
16;163,66;49,08;6,3;6,261084759;3,416070166;2,762740284
2;161,67;49,06;5,83;7,815253147;4,493236209;3,272710249
4;161,67;49,06;5,93;7,376997764;4,237990769;3,079435722
6;161,67;49,06;5,98;6,889012589;4,240895126;2,963305422
8;161,67;49,06;6,05;7,486245954;4,184880376;3,275512225
10;161,67;49,06;6,12;6,259000927;3,449359433;2,853947563
12;161,67;49,06;6,18;7,124892912;3,842200975;2,777016747
14;161,67;49,06;6,25;6,318928419;3,563517386;2,630184909
16;161,67;49,06;6,3;6,174339977;4,133784669;2,699253395
2;159,68;49,04;5,83;7,494217956;4,45655216;3,543926294
4;159,68;49,04;5,93;5,719649855;2,997881448;2,859282474
6;159,68;49,04;5,99;6,479260568;4,281057168;2,765214055
8;159,68;49,04;6,05;7,377086155;4,175698022;3,129993526
10;159,68;49,04;6,1;7,762688546;4,424148264;3,170888725
12;159,68;49,04;6,17;6,160863924;3,370074081;2,910371491
14;159,68;49,04;6,2;7,823005811;4,370272685;3,69022668
16;159,68;49,04;6,29;7,503781392;4,322520136;3,143326487
2;157,69;49,02;5,89;7,01095157;3,91196067;3,025158896
4;157,69;49,02;5,95;7,258288569;4,103616182;3,187341981
6;157,69;49,02;6,01;8,015053893;4,593955001;3,258807337
8;157,69;49,02;6,06;7,52403237;4,217039038;3,166436496
10;157,69;49,02;6,12;6,962752408;3,999877037;3,113573655
12;157,69;49,02;6,18;6,84461425;3,75183884;2,731242455
14;157,69;49,02;6,25;6,493150216;4,244187654;2,932853472
16;157,69;49,02;6,3;7,388524606;4,364961882;3,44816599
2;155,7;49;5,93;7,485685063;4,25974007;3,124377052
4;155,7;49;6;6,368518193;4,273941861;2,765149713
6;155,7;49;6,05;6,135893548;3,380142536;2,92465255
8;155,7;49;6,1;6,325971735;3,554438504;2,57793941
10;155,7;49;6,17;7,129202808;4,05401117;3,232954729
12;155,7;49;6,21;6,527660096;3,689786469;2,668501726
14;155,7;49;6,25;7,093840583;3,988635088;3,033037535
16;155,7;49;6,3;7,186451687;4,163882154;3,14529877
2;153,71;48,98;5,95;6,278754434;3,554271445;2,568388423
4;153,71;48,98;6,01;7,159031357;4,184339941;3,345424666
6;153,71;48,98;6,06;7,546959707;4,343211831;3,382355335
8;153,71;48,98;6,11;7,053728104;3,959459561;2,97091821
10;153,71;48,98;6,17;5,960397839;3,154114871;3,031641937
12;153,71;48,98;6,22;5,949374655;3,198846065;2,741767826
14;153,71;48,98;6,25;6,614982188;3,710220072;2,856022661
16;153,71;48,98;6,3;7,57323746;4,403215083;3,316293687
2;151,72;48,96;5,95;6,465266724;3,662645374;2,63724758
4;151,72;48,96;6,01;6,117362547;3,549389009;2,870398548
6;151,72;48,96;6,06;6,430981134;4,098555044;2,860044064
8;151,72;48,96;6,11;6,846772522;4,373411486;2,872180544
10;151,72;48,96;6,18;6,730844732;3,799468278;2,812365417
12;151,72;48,96;6,22;6,696549955;3,866157507;2,856148282
14;151,72;48,96;6,25;6,68190839;3,687657136;2,877967287
16;151,72;48,96;6,3;7,225142518;4,045675017;3,036844918
2;149,73;48,94;5,95;6,410291289;3,722972771;2,654908358
4;149,73;48,94;6,01;7,793019209;4,471731295;3,245002617
6;149,73;48,94;6,06;7,516473527;4,39090683;3,570025806
8;149,73;48,94;6,11;6,892674133;3,788098409;2,779995228
10;149,73;48,94;6,19;7,535481036;4,2892407;3,12679398
12;149,73;48,94;6,23;7,832036164;4,504824871;3,554035949
14;149,73;48,94;6,25;5,940281943;3,411827295;2,846659808
16;149,73;48,94;6,3;6,148517051;3,880257939;2,65850734
2;147,74;48,92;5,95;7,678211578;4,530552863;3,496817483
4;147,74;48,92;6,01;6,659347955;3,835131562;2,736124194
6;147,74;48,92;6,06;6,880963183;4,044426302;2,8921317
8;147,74;48,92;6,12;7,206004268;4,093320884;3,102419102
10;147,74;48,92;6,19;6,704329192;3,748017093;2,835117123
12;147,74;48,92;6,24;6,244440385;3,424305657;2,742961021
14;147,74;48,92;6,28;7,113459318;3,850987343;2,811493474
16;147,74;48,92;6,32;6,939715426;3,876872592;3,109533692
2;145,75;48,9;5,96;8,295013266;4,750758237;3,25714372
4;145,75;48,9;6,02;6,022313083;3,259024135;3,086545364
6;145,75;48,9;6,07;7,150391613;3,982708032;2,967631653
8;145,75;48,9;6,13;7,194898284;4,131094701;3,129263373
10;145,75;48,9;6,2;6,44146216;3,634856374;2,817548994
12;145,75;48,9;6,25;6,276385324;3,445923751;2,582262168
14;145,75;48,9;6,29;6,17566911;4,158943467;2,680688552
16;145,75;48,9;6,32;7,515822435;4,337132756;3,555128155
2;143,76;48,88;5,97;6,354776163;3,510574322;3,039536301
4;143,76;48,88;6,03;7,37786064;4,235795176;3,315222459
6;143,76;48,88;6,08;7,582944129;4,448624556;3,5928416
8;143,76;48,88;6,15;8,100433957;4,607053954;3,80353169
10;143,76;48,88;6,21;6,247673158;3,450520739;2,571793298
12;143,76;48,88;6,25;6,267990835;4,109526464;2,744776991
