h;x;y;Vp;Vpcalc;Vscalc;Ro
6;117,27;87,93;6,94;13,59107448;7,110572363;3,124992215
8;117,27;87,93;7;6,965100837;4,004241782;3,263170643
1;117,63;85,97;6,2;4,586480111;2,561494107;3,001081498
2;117,63;85,97;6,27;33,42258177;11,58794424;3,032975835
3;117,63;85,97;6,33;5,644192302;3,297744268;3,302944639
4;117,63;85,97;6,35;7,874107586;4,253435166;2,803088919
5;117,63;85,97;6,1;5,238517621;3,200079636;2,788397291
6;117,63;85,97;6,16;4,351632082;2,463733792;2,902803117
8;117,63;85,97;6,27;3,220583923;1,865698225;2,640307899
2;117,63;85,97;6,4;6,354610829;3,647455124;3,168639165
4;117,63;85,97;6,44;9,58758502;5,140248369;2,977975224
6;117,63;85,97;6,48;3,825088989;2,19490615;2,755886136
8;117,63;85,97;6,53;8,208646066;4,397891564;2,790954117
0;117,63;85,97;6,57;2,874397926;1,736004588;2,596256152
2;117,63;85,97;6,62;4,99533214;2,819421504;3,039009143
4;117,63;85,97;6,66;5,488979582;3,053791627;3,030094372
6;117,63;85,97;6,7;6,819175944;3,72477779;2,87261928
8;117,63;85,97;6,74;5,853634277;3,318750795;3,100896077
0;117,63;85,97;6,78;6,891570184;3,824065072;3,077430173
2;117,63;85,97;6,84;5,257322798;2,954991595;3,031863412
4;117,63;85,97;6,88;4,426852901;2,363806687;2,960803616
6;117,63;85,97;6,94;5,321523035;3,569598587;2,841371425
8;117,63;85,97;7;4,906401506;2,778940382;3,020564179
1;118;84;6,2;9,435392105;5,477134242;2,844029817
2;118;84;6,26;4,649622711;2,644450317;2,959374017
3;118;84;6,32;2,55790451;1,44998655;2,616435411
4;118;84;6,1;2,708407306;1,802344428;2,612153092
4;118;84;6,44;7,276534755;4,002796272;3,021462576
6;118;84;6,48;5,524953957;3,23973997;3,261005447
8;118;84;6,53;4,903972294;2,772136043;3,059439376
2;118;84;6,62;6,133758619;3,45956855;3,109159136
4;118;84;6,66;6,165113545;3,482895027;3,025489197
6;118;84;6,7;6,061773603;3,355615626;2,780329841
8;118;84;6,74;10,21573322;5,242647861;2,955133455
2;118;84;6,84;3,974735933;2,256036378;2,7872384
6;118;84;6,94;25,94665287;13,54414343;2,950947723
8;118;84;6,99;6,599438122;3,755607884;2,886275448
1;118,37;82,03;6,19;3,423678213;2,057486204;2,652809183
3;118,37;82,03;6,32;4,125713872;2,327664509;2,841670655
4;118,37;82,03;6,1;5,964497799;3,489640018;3,320226414
6;118,37;82,03;6,16;7,975883057;4,782513391;2,895080219
8;118,37;82,03;6,27;4,979374713;2,815545194;3,058910636
4;118,37;82,03;6,44;5,934794422;3,740633984;3,146704755
6;118,37;82,03;6,48;7,302863332;4,208960597;3,336235754
8;118,37;82,03;6,53;4,993638006;2,89794077;2,90203155
0;118,37;82,03;6,57;5,957960891;3,366195475;2,991587515
2;118,37;82,03;6,62;5,225391957;2,725528237;2,891446135
6;118,37;82,03;6,7;7,075493106;4,206438916;3,001423031
8;118,37;82,03;6,74;2,30460205;1,365696444;2,619363538
0;118,37;82,03;6,78;5,437059245;3,456694074;2,885102117
2;118,37;82,03;6,84;12,9852458;6,768150384;3,126331702
4;118,37;82,03;6,88;5,905339185;3,522021777;3,459064201
6;118,37;82,03;6,94;3,86357415;2,140241057;3,051408502
1;118,73;80,07;6,19;4,970234964;3,094605774;2,965396758
2;118,73;80,07;6,25;4,651942074;2,754323242;2,798465909
4;118,73;80,07;6,33;7,862876449;4,169867852;2,740256849
5;118,73;80,07;6,1;3,750110983;2,054282826;3,025365095
6;118,73;80,07;6,16;4,015383079;2,275811261;2,755081652
8;118,73;80,07;6,27;7,779139187;4,573348084;3,49901177
0;118,73;80,07;6,34;4,546795981;2,615752166;2,962809129
2;118,73;80,07;6,4;5,917719334;3,456167139;3,269441893
8;118,73;80,07;6,53;6,843692407;3,690066752;2,891440337
0;118,73;80,07;6,57;5,96287059;3,242511981;2,931139009
2;118,73;80,07;6,62;5,355173613;2,964803926;2,797881628
